id,srno,application_name,customer_initiated_transactions_volume_mn,customer_initiated_transactions_value_cr,b_2_c_transactions_volume_mn,b_2_c_transactions_value_cr,b_2_b_transactions_volume_mn,b_2_b_transactions_value_cr,onus_transactions_volume_mn,onus_transactions_value_cr,total_volume_mn,total_value_cr,created_at,updated_at,published_at,created_by_id,updated_by_id,product_name,tab_name,year,month,upi_application_name,upi_volume_mn,upi_value_cr,locale
1532,1,Airtel Payments Bank Apps,5.29,454.64,-,-,-,-,0.01,6.26,5.30,460.90,2025-01-07T04:07:45.378Z,2025-04-29T10:58:57.463Z,,,,UPI,upi-apps,2022,Apr,,,,en
1533,2,Amazon Pay,73.21,6699.57,-,-,-,-,-,-,73.21,6699.57,2025-01-07T04:07:45.378Z,2025-04-29T10:58:57.543Z,,,,UPI,upi-apps,2022,Apr,,,,en
1534,3,AU Small Finance Bank Apps,0.32,109.89,-,-,-,-,-,-,0.32,109.89,2025-01-07T04:07:45.378Z,2025-04-29T10:58:57.624Z,,,,UPI,upi-apps,2022,Apr,,,,en
1535,4,Axis Bank Apps,7.19,1213.44,56.84,43.71,-,-,-,-,64.03,1257.15,2025-01-07T04:07:45.378Z,2025-04-29T10:58:57.705Z,,,,UPI,upi-apps,2022,Apr,,,,en
1536,5,Bajaj Finserv,0.52,38.61,-,-,-,-,-,-,0.52,38.61,2025-01-07T04:07:45.378Z,2025-04-29T10:58:57.785Z,,,,UPI,upi-apps,2022,Apr,,,,en
1537,6,Bank of Baroda Apps,0.77,344.65,-,-,-,-,-,-,0.77,344.65,2025-01-07T04:07:45.378Z,2025-04-29T10:58:57.864Z,,,,UPI,upi-apps,2022,Apr,,,,en
1538,7,Bank of India Apps,0.10,32.62,-,-,-,-,-,-,0.10,32.62,2025-01-07T04:07:45.378Z,2025-04-29T10:58:57.944Z,,,,UPI,upi-apps,2022,Apr,,,,en
1539,8,Bank of Maharashtra Apps,0.05,14.56,-,-,-,-,-,-,0.05,14.56,2025-01-07T04:07:45.378Z,2025-04-29T10:58:58.025Z,,,,UPI,upi-apps,2022,Apr,,,,en
1540,9,BHIM,25.69,8354.34,-,-,-,-,-,-,25.69,8354.34,2025-01-07T04:07:45.378Z,2025-04-29T10:58:58.107Z,,,,UPI,upi-apps,2022,Apr,,,,en
1541,10,Canara Bank Apps,0.31,110.31,-,-,-,-,-,-,0.31,110.31,2025-01-07T04:07:45.378Z,2025-04-29T10:58:58.194Z,,,,UPI,upi-apps,2022,Apr,,,,en
